reviews,sentiments,ratings
Lost of money,Absolute rubbish!,1.0
"Awesome camera, great performance, beautiful design.. only drawback is battery performance...",Must buy!,5.0
Super Beautiful Mobile Phone,Mind-blowing purchase,5.0
Only issue is the battery life and heating of the device,Value-for-money,4.0
The phone gets booted up every now and then.,Absolute rubbish!,1.0
Good product,Classy product,5.0
"Dear Google, please address the following issues.

1. Average battery life.
2. Thermal checks.
3. For god's sake give us fast charging atleast 30 watts rather than 18 or 20 watts.

Those are the only issues about this phone. Rest all are great !

Note : This isn't suitable for gamers but for normal day to day usage, this one is for you.",Pretty good,4.0
"1. Pixel always stands out when it comes to a camera.
2. 7yrs update.
3. Fast charging is not as great as OnePlus phones. Comparatively takes around 40minutes to full charge.

Overall, it's a compact phone. Worth buying it.",Delightful,4.0
Perfect form and function.,Perfect product!,5.0
"Dear all , please don't don't don't go for this phone. I purchased this to come out of the apple universe, however it was the worst decision. Phone is heating as microwave and sensors are not working. Face lock and fingerprint sensors are of no use. Communicated the same to Flipkart however no help from their side till now. Don't fall for this worst product. I had ignored the reviews of YouTubers and thought that Google will be making good devices only, however I failed and this device is jus...
READ MORE",Worthless,1.0
Waste mobile screen weak,Hated it!,1.0
It's very interesting to use this phone with new features and the phone's camera photos and videos are very nice. Sometimes the touch response is not working properly. and fingerprint lock release is not responding.,Very Good,4.0
The phone could have been lighter,Perfect product!,5.0
"Loving the phone.
Easy to handle and compact in size.
Smooth navigation and usability.
Heard a lot about battery issues, but it is good enough for 1 whole day on moderate usage.",Terrific purchase,5.0
"Charging is a pain it's taking 8 hours to full charge even when using google 30W fast charger.
With a lot of heating issues , after normal browsing of 10-15 minutes gets heated too much.",Not recommended at all,1.0
Worst battery and high price... Not well protected,Very poor,1.0
Very nice but a little bit slower charging,Worth every penny,5.0
"Overall a good phone with software updates..
However the charging time is way higher",Does the job,3.0
"Reviewing after 15 days of use
Good phone if under 40000.
Good battery backup for normal users
Excellent camera
Smooth functioning
Overall very good at this price range",Terrific,5.0
"The camera is not up to par with the standards set by other Pixel phones.

Update after 1 month: Volume issues have arisen. Sometimes, the volume gets stuck at a specific level, and the only solution is to restart the phone.",Just okay,3.0
Awesome mobile worth,Just wow!,5.0
so far so good,Super!,5.0
"Super super super super, amazing!",Brilliant,5.0
This is not up to mark. It is taking too much time for charging.... It has never charged 100%.,Just okay,3.0
Don't buy,Expected a better product,2.0
"Veryyyy good , big upgrade in terms of performance from pixel 7A.",Simply awesome,5.0
As per the price performance is so bad of this phone. Getting heated in just 5 min use of this phone and having charging concern as well. I will recommend you to not buy this phone.,Worthless,1.0
"Front camera is not very good.
Everything else is superb.",Value-for-money,4.0
"Love the phone. Superb price (discount+exchange) for a pixel. The display is gorgeous, and the camera with the AI tricks are brilliant for the reels generation.

Only grouse is no charger given with the phone. But I am using the MacBook PD charger, and it works like a charger.",Must buy!,5.0
Waste product charging is very poor battery capacity is not good so can't buy this product and service of product very poor condition,Hated it!,1.0
Google has deceived the information of phone having only 18w charging. Unacceptable,Terrible product,1.0
"Amazing camera
Good battery
Great display",Awesome,5.0
Good phone offering better value by providing AI features. Reduced one star for heating issue under normal usage. Hope Google fixes it with software update.,Good quality product,4.0
Build quality and camera is really superb..,Terrific,5.0
"Good but battery 🔋 performance is not upto the mark .not even it lasts a day. And fastcharging is not upto the mark it takes approximately 2 hrs to charge,rest else are good 👍",Nice,3.0
Waste of Money,Not good,2.0
"Good for all the AI features and hope Android updates will be coming sooner.
The camera is good but the phone is becoming heated while taking video for a long time, and generally also of watching videos also.
Fast charging is a big disadvantage, even after purchasing a Google charger it still takes hours for full charge.
Sound also seems not loud enough, with full sound quality becomes hazy.
It will give a 7 year update but I don't feel the phone will survive 7 years. Much better was expected...
READ MORE",Nice,3.0
Best pricing and super phone,Just wow!,5.0
NOT UP TO THE MARK...,Hated it!,1.0
Good Phone from Pixel and has 7 years of updates as promised by google.,Awesome,5.0
"Nothing extraordinary, the average google phone with a thick bezel looks like a mobile from 2018.

Pros

Top notch software and AI Feature.
Best in class camera
2000 nits display

Cons

Slow charging 18 watts
Thick Bezels
Slight heating issues",Great product,5.0
"Camera excellent
Charging take approx 1 hrs
Handy premium phone
Good to go with it .",Brilliant,5.0
"Not worth of this price.
Better avoid, I bought it, now regret.",Slightly disappointed,2.0
One hour 17 minutes to charge from 20% to 100%. I have used 30w google charger. Omggg i regret my decision of getting first pixel device,Horrible,1.0
Just good 👍,Wonderful,4.0
"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome
50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy
See Low light photos are amazing..",Fabulous!,5.0
Amazing picture quality❤️👌🏼👌🏼,Worth every penny,5.0
"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",Great product,5.0
Nice camera but battery drain fast specially on video recording,Great product,5.0
Just amazing!,Excellent,5.0
"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",Best in the market!,5.0
"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.",Best in the market!,5.0
"Reasons to get it over regular 13
- 50 percent extra ram
- Better camera sensors
- Cinematic mode at 4k 30 fps (13 could only do 1080p 30fps)
- Action mode for super stabilised videos
- Better low light photos thanks to photonic engine
- Better battery life
- Extra gpu core for high graphics performance
- New improved modem for fast and efficient mobile connectivity
- Dual ambient light sensors
- Better camera flash
- Crash detection
- Satellite connectivity (though currently not in I...
READ MORE",Awesome,5.0
Thanku filipkart best phone in the world ❤️,Terrific purchase,5.0
"The best camera best design !!
1st iphone 14 !!
i tried all conditions light photo
the quality is best i was impressed with device
battery backup is good
perform is very impressive 🔥",Must buy!,5.0
Ultimate,Highly recommended,5.0
"Very nice product, camera quality is just amazing everything seems too real.
Phone is very fast.",Excellent,5.0
"Just awesome....❤️🙌😌
Display Camera Battery Processor....
JUST WOW....✨💗☺️",Must buy!,5.0
Performance is really good and camera quality is fine,Best in the market!,5.0
Excellent camera 😍,Mind-blowing purchase,5.0
Loved it 👍,Simply awesome,5.0
Nice UI and Fast,Very Good,4.0
Awesome 👍,Good quality product,4.0
Amazing!pictures...📸 everything good 😍,Just wow!,5.0
Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍,Terrific,5.0
"I used iPhone 12 mini and now upgraded with iPhone 14.
Camera quality is awesome.
Full day battery backup.
Super Retina display with high dynamic range is awesome.

In terms of camera and battery life is big upgrade for me.",Just wow!,5.0
Just perfect!!,Mind-blowing purchase,5.0
Super camera.,Perfect product!,5.0
Amazing device for daily life about camera about sound quality all are good,Mind-blowing purchase,5.0
Camera is superb.nice phone,Classy product,5.0
Love the camera💖🥰,Awesome,5.0
sound quality is very good 👍,Fabulous!,5.0
Unboxing overall good experience 😊,Good choice,4.0
After a losts of efforts when you get then Just Awesome 😊,Must buy!,5.0
"I bought iPhone 14 in big billion days. Very happy. Excellent Product delivery
Excellent haptics
Excellent Performance
Excellent Camera
Excellent In hand feel
Excellent Eco System if u have other apple products
❤️ From Ooty

Thank you Flipkart for the big billion days 🎉",Terrific,5.0
"Amazing product, love the design and the feel is awesome
Performance is very smooth.",Wonderful,5.0
Nice look badiya phone after one year use great working,Good quality product,4.0
Just wow😍😘,Terrific purchase,5.0
Finally got an iPhone. Love the camera.,Excellent,5.0
Great picture quality. Performance is good as always. The important addition is the cinematographic video recording,Super!,5.0
"Very attractive
Must buy
Love It❤️❤️",Classy product,5.0
Awesome phone with amazing features,Brilliant,5.0
"Just awesome!!
I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.

Camera is best. Battery giving a full day. Speaker sounds wide and clear.

Must buy!!",Must buy!,5.0
Excellent Product 🥳,Wonderful,5.0
Excellent camera😊,Mind-blowing purchase,5.0
Absolutely Awesome,Super!,5.0
Excellent build quality. Much faster and smoother,Simply awesome,5.0
Camera cinematic next level🔥🔥,Terrific purchase,5.0
"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .",Fabulous!,5.0
An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.,Super!,5.0
awesome build quality and features,Excellent,5.0
Really an overall great product,Super!,5.0
"iphone is great
Canera qulity is best
Battery is powerful
All dizine best
Work all best
All over best",Classy product,5.0
"Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.
Built quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images.",Classy product,5.0
"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.",Fabulous!,5.0
"Best in the market.
Camera quality awesome
Battery easily goes for a day
Speakers are really good.",Great product,5.0
Nice looking phone.,Great product,5.0
"My 1st IOS device so far good😊
Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!",Wonderful,5.0
"Purchase on First day sale in BBD23.
Will share full review after use.
I am shifting from Android to IPhone.",Terrific,5.0
Love IPhone Dream IPhone..💜😍✌️🖤,Brilliant,5.0
Looking Awesome ✨✨,Excellent,5.0
Best phone but same as Iphone 13. There is no difference in 13 and 14.,Simply awesome,5.0
Decent purchase:),Brilliant,5.0
"Cameras quality is 🤩, all rounder phone",Great product,5.0
Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month Thanks 😊 I'm happy 😁 ❤️,Delightful,4.0
"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it.",Best in the market!,5.0
Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.,Excellent,5.0
What a phone.,Classy product,5.0
Very smooth and camera is awesome 😍,Classy product,5.0
This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for it,Worth every penny,5.0
Nice,Classy product,5.0
Best camera phone,Excellent,5.0
awesome phone..i switched from android to ios first time and became a big fan of ios. Performance is excellent and display camera everything is awesome❤️❤️.,Perfect product!,5.0
Awesome device form apple just go for it and main point is Flipkart delivery facility is best.,Terrific,5.0
"Review after a week

Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.

Camera 4/5
Pictures in full zoom- 3
Sound quality- 5/5
Display- 4.5/5
Performance- 5",Wonderful,5.0
Awesome camera,Best in the market!,5.0
Nice one,Awesome,5.0
My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️,Simply awesome,5.0
Quality + Performance + Integrity = Apple Inc,Best in the market!,5.0
Best Phone in market.,Simply awesome,5.0
"Simply superb so far
No complaints as of now
Phone was delivered within one day after order",Terrific purchase,5.0
Highly recommended best price since launch loud speaker is amazing display is another world nothing to say it's overall quite amazing phone dont think ggo for it,Simply awesome,5.0
It looks so pretty 🫣❤️,Classy product,5.0
Nice camera,Highly recommended,5.0
"4 out of 5
Phone was so handy and superb",Really Nice,4.0
I'm happy with the phone and the deal I got from the Flipkart.,Worth every penny,5.0
Best quality,Mind-blowing purchase,5.0
"Best in class in all the aspects. Top notch performance for display, camera and everything.",Best in the market!,5.0
"I was an android user since six years ,
Upgraded to iPhone 14 and it is worth it
Features are next level 👍",Brilliant,5.0
Value for money product if you get the deal around 65 k .,Perfect product!,5.0
Amazing Product 😇💯,Worth every penny,5.0
Very good phone,Perfect product!,5.0
You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.,Great product,5.0
I think this is wow what a performance camera too good love it,Classy product,5.0
"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.

After receiving this, I have no regression.

Love this.

iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.

The camera is good, sometimes it misses focus.

Performance is the best part of it.",Great product,5.0
"I switch from x r to 14 great experience
Best display and sound quality and some fabulous changes in camera is also.great",Classy product,5.0
I just love this phone for the 1st time and the performance is awesome just wow camera quality battery everything is awesome . I prefer anyone who can use this phone . Iphone using it for the 1st time never getting any problem . Just thank you Flipkart for providing me these at low cost as compared to retail shops . Thank you Flipkart and Apple . Just love it .,Just wow!,5.0
"Simply awesome. But battery health going like a bullet train, after 50 days of usage battery health showing 98%.",Excellent,5.0
Amazing camera❤️❤️❤️,Just wow!,5.0
Build quality is very bad after days speaker is not warm fine,Worst experience ever!,1.0
Excellent,Great product,5.0
Just awesome,Excellent,5.0
Nice product,Simply awesome,5.0
"Excellent camera
Impressive design
Needs to improve display from 60hz to at least 90/120hz
Must improve battery capacity

Thanks",Mind-blowing purchase,5.0
Bad refresh rate at this price point. It looks way too slow after using Android phone above 90 hz display,Terrible product,1.0
Astounding,Awesome,5.0
"Camera: Rear Camera is Too Good
Front Camera : Average
Performance : Beast
Security : Best
Software : Best

iPhone 14 is a complete package, go for it without any hesitation. This phone changed me from Android Fanboy to iPhone fanboy.",Great product,5.0
Excellent mobile,Wonderful,5.0
Everything is good except camera.,Very Good,4.0
Good,Good quality product,4.0
No words,Worth every penny,5.0
Heating Issue,Slightly disappointed,2.0
Nice phone ❤️ I PHONE 14 ❤️,Highly recommended,5.0
Excellent,Very Good,4.0
Product colour very beautiful and camera quality excellent.,Mind-blowing purchase,5.0
"We can say tha it is value for money product , great camera quality, eye catching design.",Wonderful,5.0
Overall good product,Awesome,5.0
Not purchasing for this phone,Expected a better product,2.0
Need more battery,Good quality product,4.0
"This is the first time from ages an Android user buying an iPhone, Experience is awesome, camera is excellent, battery is good . Overall a nice purchase you won't regret buying.",Wonderful,4.0
"First ever experiencing Iphone. Being an android user and switching over to Iphone and using it for a day makes me a step away from android.

1.Top Class Performance
2. High defined Camera and Cinematic Video
3. Pocket friendly comparing pro and plus models
4. Have a concern on Battery , though drains on a single day usage - It doesnt means a negative feedback since its 20W Charger charged from 3 to 60 at a time of 10 minutes. I was too surprised- The best class in Apple Series.

Last but n...
READ MORE",Wonderful,5.0
"The phone does get warm pretty quickly and also the battery drains pretty quickly still okay for single day usage .
Phone was delivered within delivery date only took 2 days to deliver",Super!,5.0
"I really like it this beautiful iPhone💖
The iPhone 14 is a very good phone for the money, offering improved cameras, a faster A15 Bionic chip and fun Action mode for video capture.",Highly recommended,5.0
Super,Good quality product,4.0
Fabulous mobile phone. Fall in ❤😘 with apple. First apple product to use.,Delightful,4.0
So far so good,Great product,5.0
This Product is genuine,Excellent,5.0
"Phone look is really attractive and little bit light weight than 13
Only one things Flipkart took too long to deliver the order.
This can be improved from Flipkart side",Fabulous!,5.0
This is not really an upgrade from my iphone 13 but it's okay. I'll suggest if you're having iPhone 12 or 13 then use that only because you won't find any big upgrade if compared to.,Mind-blowing purchase,5.0
Good produced,Terrific purchase,5.0
Amazing product 👍,Brilliant,5.0
It is genuin,Just wow!,5.0
"Best performance in sunlight ,low light and night camera",Mind-blowing purchase,5.0
Very good and very smooth working,Terrific,5.0
"Great phone with great capabilities 🔥
Excellent camera 📸
Processor same as my 13pro
New blue colour is awesome ❤️
I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date.
The one thing I always said it is what it is🔥🔥",Classy product,5.0
Phone not working properly. Mobile hanged and was unable to restart. Mobile network is not working.,Very poor,1.0
Nice picture quality,Just wow!,1.0
Awesome as always,Awesome,5.0
This is not my first iPhone. Have been using them for close to a decade now. Had 12 mini - battery back was an issue. Have for the iPhone 14 now. No complaints !!,Must buy!,5.0
After purchasing with in 3-4 days display not working properly poor performance,Not recommended at all,1.0
Happy with the product,Very Good,4.0
"I was earlier an Android user and I brought this phone only because of its good battery life. It took me some time to understand this phone but now I really like it. Amazing camera, super battery, handy design and brilliant display.",Fabulous!,5.0
Verry nice,Mind-blowing purchase,5.0
Awesome,Best in the market!,5.0
Love it,Great product,5.0
I have recently shifted from android flagship to IOS and what an experience it is ❤️,Must buy!,5.0
"didn't feel camera was that great , don't know why , everything elese is really good",Worth every penny,5.0
"The iPhone 14 is a solid choice for those looking for a high-quality smartphone experience. The camera is top-notch, the performance is smooth, and the design is sleek and modern. However, there are a few drawbacks to consider when comparing it to Android phones.

One of the biggest cons of the iPhone 14 is its lack of customization options. Apple has a strict policy on what apps and features can be used on their devices, which can be frustrating for users who want more control over their pho...
READ MORE",Decent product,3.0
"Android is best for works
iPhone is best for officers and vips",Very Good,4.0
Love it 😍❤️😍 awesome n very handy to use.,Great product,5.0
Liked it.,Fabulous!,5.0
Happy.....,Perfect product!,5.0
"Not upto the mark it just like a one plus type not satisfied with camera, performance battery and all even it is being hanged also..",Just okay,3.0
"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",Terrific,5.0
iPhone is super smooth excellent display excellent camera excellent performance,Super!,5.0
Perfect quality product and shiney,Worth every penny,5.0
Heating and network issue,Terrible product,1.0
Best phone,Pretty good,4.0
Very nice,Value-for-money,4.0
Camera quality is very good,Great product,5.0
Best,Just wow!,5.0
sound quality is superb ❤️🤗,Terrific purchase,5.0
Pic quality is good,Awesome,5.0
Excellent work 👍,Perfect product!,4.0
Good performance,Excellent,5.0
Great deal by Flipkart!,Terrific purchase,5.0
This my first I phone and I'm so happy,Just wow!,5.0
Awesome,Mind-blowing purchase,5.0
It's just awesome👍👏😊,Great product,5.0
Bad,Hated it!,1.0
Good performance,Really Nice,4.0
whoa!!! its so smooth,Great product,5.0
"I am using the product since quite a while now, I was previously having XR and this is 100% an upgrade on the same. Battery life is good and phone is a bit handy as well, though not as good as mini phones. Camera has definitely improved a lot in last 4 yrs and that's a massive upgrade. Altogether a great product and a no brainer if you are looking for a 5g handset with decent performance.",Terrific purchase,5.0
Its iphone 14.... just go for it,Terrific purchase,5.0
Product is very good no hate,Classy product,5.0
Loved it 😍,Good quality product,4.0
"Thank you Flipkart
Camera awesome
Display good",Nice product,4.0
amazing product😊nice flipkart service😍I'm happy🤗,Simply awesome,5.0
Nice product😍,Fabulous!,5.0
"Performance is ok.. not much difference between iPhone 12 and iPhone 14

Almost similar performance...",Decent product,3.0
Superb Phone Camera quality is dam good and clean design.,Wonderful,5.0
Awesome product....,Super!,5.0
Nice and classy product,Decent product,4.0
Good one,Terrific,5.0
Very gud👍,Pretty good,4.0
"Excellent performance,camera is superb , thank you flipkart,",Best in the market!,5.0
"Camera quality is too good
Overall phone performance was too gud ❤️",Wonderful,5.0
Nice phone but battery drane more while using camera and battery is less useable,Brilliant,5.0
Good,Nice product,4.0
Iphone 13 and 14 is like average model on his mrp,Wonderful,4.0
allover toooo good,Must buy!,5.0
Love ❤️,Brilliant,5.0
Apple is a brand. So just a normal review because it does not need any review,Perfect product!,5.0
After 2 months of usage battery capacity is 99%😟😨,Good,3.0
Awesome iPhone 👌💖,Terrific,5.0
Thank you apple,Really Nice,4.0
Really amazing,Classy product,5.0
!!!Enjoy with iphone 14 👍😎✌️ with great camera resolution,Terrific,5.0
Amazing,Worth every penny,5.0
Superb hai boss really amazing,Worth the money,4.0
Light weight,Brilliant,5.0
Like a Dslr 👹👹👹👹,Fabulous!,5.0
This is my first ios device and I am completely satisfied with the product. But the delivery experience was so bad that the delivery executive handled the situation very carelessly. Device itself feels super awesome and the camera is really outstanding. I feel like i am never turning back to android ever again.,Must buy!,5.0
Love the product.,Terrific purchase,5.0
"Giving 5⭐ rating...After three months of using the iPhone 14, I can confidently say it's been a game-changer for me. The performance is outstanding, with apps opening instantly and seamless multitasking. The battery life has remained consistent, easily lasting me through a full day of heavy usage. The camera continues to impress with its sharpness and versatility, capturing stunning photos in various lighting conditions. The build quality is top-notch, and the display is vibrant and immersive...
READ MORE",Must buy!,5.0
good,Wonderful,5.0
Good,Pretty good,5.0
Good performance,Mind-blowing purchase,5.0
Value for money,Best in the market!,5.0
"Whole black grasses becomes so bright in night mode of this camera, perfect design and so smooth in working. Must recommend to all who are thinking about this phone..",Awesome,5.0
The camera quality is soo good...nice battery backup,Great product,5.0
Quality product,Worth every penny,5.0
Great product. I am regular apple user. Switched to iphone 14 from iphone X. Camera is just next level. ❤️,Must buy!,5.0
Osm pic,Just wow!,5.0
Gifting the iPhone 14 to my wife on her birthday was a fantastic decision. She absolutely loves it! The camera upgrades have brought so much joy to her daily life. She can't stop raving about the picture quality and how it helps her capture our family moments beautifully. The elegant design also resonates with her taste. It's not just a phone; it's become an integral part of her daily routine and her favorite gift ever. Seeing her happy with it makes it a great choice for me.,Just wow!,5.0
Satisfied,Classy product,5.0
Fast delivery nice phone,Just okay,3.0
Product is very good. I love it. But it has some heating issue while chatting as well as while uploading the photos to social media.,Terrific purchase,5.0
"Worth to buy very good design and features.
Open box delivery is very good.",Brilliant,5.0
"Ordered in Flipkart big million day sale...
Price great .
Camera- outstanding
Performance -great
Display- really awesome
Overall great experience to buying iphone 14",Excellent,5.0
Super working,Worth the money,4.0
"I am an active apple user from last 5 years .
The only demerit is battery, I have used iphone 6s , 12 mini and this one is my third iphone.

Security is the best 👍.",Terrific,5.0
Zero hateful phone I really liked,Perfect product!,5.0
Awesome 👍,Wonderful,5.0
Battery performance Apple yet to improve,Good quality product,4.0
Nice amazing phone Photo amazing pic,Wonderful,5.0
"No need to give any review.
Its apple iphone
overall excellent performance
Wonderful camera
Smooth os
You will little bit difficult to use for few days
Overall excellent phone with 5 star rating",Simply awesome,5.0
Overall a good package,Terrific,5.0
Very good,Worth every penny,5.0
After purchasing iPhone device feel i have powerful device in hand after long time I sifted iPhone 6 to 14 and its worth-it.,Brilliant,5.0
How is the camera rating so high in this review?? I found the camera quality absolute garbage.,Slightly disappointed,2.0
"Amazing phone with snappy performance, just heats a bit
Just hate the battery backup after ios 17 update
Love the performance",Nice product,4.0
awesome it is,Really Nice,4.0
Nice but android is better than iOS features,Delightful,5.0
Wow 🤩 awesome feeling,Mind-blowing purchase,5.0
Very nice phone good qwality,Fabulous!,5.0
Thank you for sending Good product,Great product,5.0
Nice,Classy product,4.0
"Iphone 14 excellent performance in cam,processor, and all it is ultimate mobile .once Again thanks to Flipkart to give me like that good quality of mobile iphone 14",Highly recommended,5.0
Worst phone,Horrible,1.0
"super smooth, mic quality seems to be disappointing
otherwise quality wise product is good",Delightful,4.0
THE product is genuinely awesome.. and can't stop my etes from looking into the product.. Awesome work by APPLE and good customer support from seller and Flipkart...THANKS FOR THE PRODUCT... GO FOR IT,Must buy!,5.0
"Fantastically amazing design, look
I really like the mobile most, it's like dream come true today",Worth every penny,5.0
Amazing product value for money 💰,Awesome,5.0
Awesome i love this phone,Classy product,5.0
"What a fabulous phone after using 1 month

I know in design it is similar to Iphone 13 but is specs aren't.
There is substantial difference in display, battery, speed as compared to iPhone 13.

Its-
Battery easily lasts more than 1 day in moderate usage.
Camera is fabulous.
Display is excellent.
Handy device.
But heats sometimes while executing smaller tasks.

I have Iphone Xs max. Its was a drastic upgrade from the same in terms of display, battery, speed ie hardware.
But more concerning is ...
READ MORE",Best in the market!,5.0
"I bought red variant of this one. It's truly amazing. Everything is perfect, but the battery should be improved. Switched to iOS from Android. Mobile's cooling system is good. I think it's no need to talk about the camera quality 💥💥",Perfect product!,5.0
Money gone but its worthy . Apple never failed to impress users,Perfect product!,5.0
"when delivery agent comes there will be issues with your otherwise perfectly working device. He is completely trained to either avoid exchange or reduce the exchange price by more than half.. and finally they will force you to either pay half or cancel exchange and pay the balance amount to give you ordered phone. Im still trying to find discolouration on my screen which the only executive eyes can see..
By the way.. 14 starlight is magnificent..",Absolute rubbish!,1.0
Nice phone🔥❤️,Wonderful,5.0
Worth for the money.,Just wow!,5.0
Nice Phone.,Fabulous!,5.0
Loved it.,Best in the market!,5.0
Just got it in big billion days at just 53k....Just switched from android....the design is sleek...camera is just excellent. At this price segmentit will be the best choice if anyone wants to shift to ios.very much satisfied❤️,Great product,5.0
"Best In Segment and blue colour looking super, camera best ever and best phone ever",Simply awesome,5.0
Just amazing,Brilliant,5.0
The smartphone is really awesome but the usb cable not satisfied,Wonderful,4.0
Battery will be better. After using for 4 months a very good experience by ios,Must buy!,5.0
"All rounder phone
Handy phone
Best camera battery performance",Terrific purchase,5.0
Nice apple 😝,Wonderful,5.0
"First iPhone I'm so excited 🙃
It is wonderful, good battery performance for gamer ✌️",Fabulous!,5.0
it is an amazing product,Fabulous!,5.0
Best phone iPhone 14,Nice product,4.0
I ordered this in republic sale in 65k. I wasnt sure that i will get new product in good condition but there is this feature of flipkart where we can check before accept product and i got totally brand new phone. So happy with service and quality.,Super!,5.0
Nice product. Delivery late,Super!,5.0
jeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeez okay,Fabulous!,5.0
iPhone 14 starlight 🤍 beautiful design excellent camera great battery. I think it is better than previous year iPhone 13. Go for it 👌,Excellent,5.0
Best phone in the world thanku filpkart,Simply awesome,5.0
"Only performance good.. battery service is very bad, display size or feel 2014 genaration phone, oneplus, nothing phone is best..",Useless product,1.0
Apple always doing best,Wonderful,5.0
I am so happy to have first time i phone 14. My experience is outstanding to have this phone.But i wanted to have i phone 18 fortunately i have this now.,Highly recommended,5.0
"Very good purchase.i bought it for my wife as a Padwa gift.
but just my views on purchasing this expensive phone- if you are using Iphone very lower version go for it but if you are already in iphone 13 or 11 do not spend money,its not worth.no much change.
but if you have lots of money then go for it.
wife was using iphone 7 hence i purchased this latest one.
now no purchase atleast for 6 years. iphone 7 also used 5 years and believe me it has no issues at all, but the only problem was batte...
READ MORE",Classy product,5.0
Outstanding product,Perfect product!,5.0
Iphone 14 is the best and size also best,Best in the market!,5.0
Awesome,Perfect product!,5.0
Very nice cellphone in this range.,Perfect product!,5.0
Really thankful to Flipkart for this. Spreading happiness. Just an awesome phone. The features are great everyone knows about the iPhone there is nothing to hide or know about anything new. Great 👍,Terrific purchase,5.0
Just wow! ✨,Classy product,5.0
Aswm Apple I phone 14 ❤️,Highly recommended,5.0
"I phone 14 is such a flagship mobile. Don't think more just grab it, fantastic 😍",Terrific purchase,5.0
Good mobile and fast,Fabulous!,5.0
Not good,Utterly Disappointed,1.0
Felling good 😊,Terrific,5.0
Very good performance,Highly recommended,5.0
You will never regret to buy this. You will be satisfied and your soul too.,Delightful,4.0
Apple prove why its worthy again,Mind-blowing purchase,5.0
"Excellent product and camera quality is super
After 5years I switched android to ios very nice experience to me",Must buy!,5.0
Verry nice products so happy iPhone 13 ✌️✌️❤️,Great product,5.0
"In comparison with an android phone, the only thing that bothers me is the UI. It is not so easy to use. There are some some handy features but overall it is not so user friendly.
It is also very buggy, especially with the whatsapp. Camera is good but it has little manual control option.
It heats up a lot, even in normal usage. And while gaming you can fry an egg on it.
Battery is life is decent.
It looks great though, simple and clean body design.","Hardware is great, Software sucks.",3.0
"Welcoming this beauty!!!Hard Luck for people who's order got cancelled.. Flipkart you never miss suprising me..what a deal that I got it..!

Well this my first iPhone ever...!
Never going back to Android for sure..

Thank you Flipkart for giving that timely delivery as expected:)

Cheers :)",Great product,5.0
"Over heating issue in such a costly phone , pathetic .
What does Apple do in research ??",Expected a better product,2.0
Very nice camera and display,Just wow!,5.0
Very good performance battery backup is very very good overall performance is lovely💕😍,Classy product,5.0
Awesome performance,Terrific purchase,5.0
"Best way to unleash your photography skills is by using this mobile camera.
Best performance
Best battery backup
Worth each penny.",Awesome,5.0
