reviews,sentiments,ratings
4Good 😊,Good 😊,4
4Good quality and comfortable,Good quality and comfortable,4
5Very smooth pant,Very smooth pant,5
5Good quality item,Good quality item,5
5This product quality is good👍,This product quality is good👍,5
5Good 👍,Good 👍,5
5Good praduct,Good praduct,5
5Nice praduct,Nice praduct,5
4Very comfortable product,Very comfortable product,4
5Good fitting.,Good fitting.,5
5Very good 👍,Very good 👍,5
5THIS PRODUCT IS VERY GOOD PRODUCT,THIS PRODUCT IS VERY GOOD PRODUCT,5
5Good quality good product 👍,Good quality good product 👍,5
1Stitching is not good,Stitching is not good,1
1Very cheap product,Very cheap product,1
3Awesome,Awesome,3
4Overr all good,Overr all good,4
2Good product but very tight,Good product but very tight,2
4Everything is good product and quality is excellent easy to wear and very comfortable but I ordered the dark grey colour but received the blue colour that's the only problem otherwise the product is excellent,Everything is good product and quality is excellent easy to wear and very comfortable but I ordered the dark grey colour but received the blue colour that's the only problem otherwise the product is excellent,4
4Very,Very,4
5Good product 👍😄,Good product 👍😄,5
5Very very nice,Very very nice,5
5Gud,Gud,5
5Amezing,Amezing,5
3All update comfortable,All update comfortable,3
"3Cloth is ok, but stitching is not moderate.","Cloth is ok, but stitching is not moderate.",3
5Nice one must buy,Nice one must buy,5
4Best quality,Best quality,4
1Material is not good. Colour faded after one week,Material is not good. Colour faded after one week,1
1It's bad,It's bad,1
4I love it ..only thing is zip is a normally used bag zip..it's not suitable for this trouser instead of this everything is fine..n I ordered 3 pieces for myself,I love it ..only thing is zip is a normally used bag zip..it's not suitable for this trouser instead of this everything is fine..n I ordered 3 pieces for myself,4
5Super 👌 👍,Super 👌 👍,5
4Better,Better,4
5Nice and very useful and best product,Nice and very useful and best product,5
5Excellent product tqqq flipcart,Excellent product tqqq flipcart,5
4Quality is good,Quality is good,4
"5Excellent product, Good packaging, Delivered exact date and time.","Excellent product, Good packaging, Delivered exact date and time.",5
5I like this product,I like this product,5
4Gud,Gud,4
5Nice pant,Nice pant,5
3Nice and comfort fit.,Nice and comfort fit.,3
1Worst Product s evet do not buy,Worst Product s evet do not buy,1
"1I thought it will also very good like the white ( grey / silver ) but it's poor quality and thinner in respect to the white.
The grey trouser was awesome, but blue isn't better or equal to it😞😞too unhappy with it💔💔","I thought it will also very good like the white ( grey / silver ) but it's poor quality and thinner in respect to the white.
The grey trouser was awesome, but blue isn't better or equal to it😞😞too unhappy with it💔💔",1
5Excellent quality ... so comfortable.....🔥🔥,Excellent quality ... so comfortable.....🔥🔥,5
"5Very good 🥰 comfort is super, better than jockey","Very good 🥰 comfort is super, better than jockey",5
"3Fabric is good and comfortable, will review after using few weeks.","Fabric is good and comfortable, will review after using few weeks.",3
3It's not worthy price is high but product is just ok not dat much good,It's not worthy price is high but product is just ok not dat much good,3
4Okay,Okay,4
"2Don’t buy this, it’s not worth","Don’t buy this, it’s not worth",2
5Febric is super soft and comfortable,Febric is super soft and comfortable,5
"5I was hesitating before buying this brand as I am already using ck but after getting it ,I found it better than the previous one. Fabric and elastic belt,both are of very good quality.👍👍👍👍👍⭐⭐⭐⭐⭐","I was hesitating before buying this brand as I am already using ck but after getting it ,I found it better than the previous one. Fabric and elastic belt,both are of very good quality.👍👍👍👍👍⭐⭐⭐⭐⭐",5
5Iam happy,Iam happy,5
"5Looks wonderful at delivery time.....
Rest i'll let you know after use.

Thanks Damensch & Flipcart as well","Looks wonderful at delivery time.....
Rest i'll let you know after use.

Thanks Damensch & Flipcart as well",5
5I love this product,I love this product,5
3Valuable product,Valuable product,3
5Perfect,Perfect,5
3This product is very soft and comfortable thus I have purchased damensch underwear so I have suggest you that you should purchase this product thank you so much,This product is very soft and comfortable thus I have purchased damensch underwear so I have suggest you that you should purchase this product thank you so much,3
4Better choice if u were a jockey lover.,Better choice if u were a jockey lover.,4
5It's comfortable,It's comfortable,5
1Plzz don't buy this product very bad quality 😡😡😡,Plzz don't buy this product very bad quality 😡😡😡,1
5Super Soft😊😊😉😉😍 Nice Product but price is high but product is very nice,Super Soft😊😊😉😉😍 Nice Product but price is high but product is very nice,5
"5Very comfortable and soft, must buy if you can afford","Very comfortable and soft, must buy if you can afford",5
4Comfort at best. Recommended,Comfort at best. Recommended,4
5Fit and awesome,Fit and awesome,5
5Superb product smoothly,Superb product smoothly,5
5Superb n comfortable...,Superb n comfortable...,5
5It is a nice and product,It is a nice and product,5
5Very good product. I received same product as shown in image,Very good product. I received same product as shown in image,5
1Size is not correct,Size is not correct,1
5The product is very good and the fabric is very soft. I like the product.,The product is very good and the fabric is very soft. I like the product.,5
5Great comfort soft fabric loved it.,Great comfort soft fabric loved it.,5
2I expect more quantity of this product but this is poor quality,I expect more quantity of this product but this is poor quality,2
5It very comfortable and very smooth I impressed,It very comfortable and very smooth I impressed,5
1Bad product,Bad product,1
"5Good quality... softness is also good
Comfort","Good quality... softness is also good
Comfort",5
5Value for,Value for,5
"5Good product
Quality is good","Good product
Quality is good",5
5Very comfortable and cloth quality is too good,Very comfortable and cloth quality is too good,5
5Very comfortable and soft... It's feeling gud,Very comfortable and soft... It's feeling gud,5
5Best quality and comfort,Best quality and comfort,5
5Nice comfortable chala bagundi quality,Nice comfortable chala bagundi quality,5
5X lent 🤘,X lent 🤘,5
5Good Quality 👍,Good Quality 👍,5
5nice product,nice product,5
4Nice product its comfortable material quality is so 👍 ❤️,Nice product its comfortable material quality is so 👍 ❤️,4
5Very comfortable and looks,Very comfortable and looks,5
1Very low quality of product,Very low quality of product,1
1Not quality,Not quality,1
5Awesome quality and Great tuch of fabric nice Indian Brand will take over of other forner brand like jocky and other,Awesome quality and Great tuch of fabric nice Indian Brand will take over of other forner brand like jocky and other,5
"1Worst product ever
Disappointed 😞","Worst product ever
Disappointed 😞",1
5Very good product.,Very good product.,5
1Very expensive,Very expensive,1
5Product is superb but price is high,Product is superb but price is high,5
5Nice and comfortable,Nice and comfortable,5
3Product is good but it doesn't absorb the sweat.,Product is good but it doesn't absorb the sweat.,3
3Very very very very bad 😞 bad,Very very very very bad 😞 bad,3
4Always recommend for it's fabric and long lasting material,Always recommend for it's fabric and long lasting material,4
5Outstanding,Outstanding,5
1Strip very cheap,Strip very cheap,1
5Very good product.....got for it without any hesitation,Very good product.....got for it without any hesitation,5
5Good Da,Good Da,5
5Very nice pordacta,Very nice pordacta,5
4Good stuff,Good stuff,4
1Product is too worst... How I'm return this product.... 😡😡,Product is too worst... How I'm return this product.... 😡😡,1
5Very comfortable product,Very comfortable product,5
"5Nice product , the material is good and it cancels bad odour and itchiness.very comfortable to wear.","Nice product , the material is good and it cancels bad odour and itchiness.very comfortable to wear.",5
1Low quality product,Low quality product,1
5This is 3rd time.I bought very nice 😊,This is 3rd time.I bought very nice 😊,5
1Not a good product its damage in 3months,Not a good product its damage in 3months,1
5Its very comfortable and soft I bought it for my husband he really like it,Its very comfortable and soft I bought it for my husband he really like it,5
"2Waste of money, highly over priced","Waste of money, highly over priced",2
5Excellent fitting,Excellent fitting,5
5Comfort nd relax,Comfort nd relax,5
5Good products but price very high,Good products but price very high,5
1Very worst cloth.....,Very worst cloth.....,1
1Thrad class quality one manth damege itam,Thrad class quality one manth damege itam,1
1Febric is soft. But it teared in 1-2 months only . so may quality compromised,Febric is soft. But it teared in 1-2 months only . so may quality compromised,1
5Very good product 👍,Very good product 👍,5
4Comfortable,Comfortable,4
2High Price poor quality,High Price poor quality,2
5Like this,Like this,5
"5i love it...❤️❤️❤️
It is very soft and comfortable. i am using this brand from last one year...
I am so happy","i love it...❤️❤️❤️
It is very soft and comfortable. i am using this brand from last one year...
I am so happy",5
1Don't buy this item after 2 months i stopped using it.,Don't buy this item after 2 months i stopped using it.,1
4It's ok,It's ok,4
4Nice ....,Nice ....,4
5Good.,Good.,5
5very good,very good,5
2Low quality,Low quality,2
2Very very bad quality of this product don't order to this item anyone.,Very very bad quality of this product don't order to this item anyone.,2
2Very poor,Very poor,2
2Bad quality products don't buy it,Bad quality products don't buy it,2
2Not a good quality,Not a good quality,2
2Not good. Very slippery while walking. Leg Will come out of shouts while walking.,Not good. Very slippery while walking. Leg Will come out of shouts while walking.,2
2Not good quality,Not good quality,2
2Okay quality,Okay quality,2
2Very poor quality products,Very poor quality products,2
2Very poor quality,Very poor quality,2
2Sorry to say ok product,Sorry to say ok product,2
2Quality is not good,Quality is not good,2
2Bad,Bad,2
2Don't buy this product size is too short and this is not suitable for age 20 and above,Don't buy this product size is too short and this is not suitable for age 20 and above,2
21 or 2 time usable,1 or 2 time usable,2
2Not good 🙂,Not good 🙂,2
2Product not quality,Product not quality,2
2Avarage,Avarage,2
2Wrost Products unsatisfied,Wrost Products unsatisfied,2
5Super Product,Super Product,5
5Very nice pics ☺️☺️☺️,Very nice pics ☺️☺️☺️,5
5very nice products👌👌👌👌,very nice products👌👌👌👌,5
5Good Material at this prise..,Good Material at this prise..,5
2Product not good,Product not good,2
4Best quality and comfortable,Best quality and comfortable,4
4Very soft,Very soft,4
1Fabric quality is not up to the expectation,Fabric quality is not up to the expectation,1
5very good 👍,very good 👍,5
"2Poor quality.............
Don't by this products........
Wast of money","Poor quality.............
Don't by this products........
Wast of money",2
5Comfortable ✌️✌️,Comfortable ✌️✌️,5
5Paisa basul good,Paisa basul good,5
5So nic,So nic,5
5Exalent,Exalent,5
5Very nice fabric and very comfortable to wear.,Very nice fabric and very comfortable to wear.,5
5VERY GOOD 👍👍👍👍,VERY GOOD 👍👍👍👍,5
"1horrible quality, worst ever.
Hence No return policy. Its like those road side 20 Rs per pair socks. very very bad","horrible quality, worst ever.
Hence No return policy. Its like those road side 20 Rs per pair socks. very very bad",1
1Worst product...,Worst product...,1
1No less than one star,No less than one star,1
1Average product,Average product,1
1Bad material quality,Bad material quality,1
1Very very very low priduct,Very very very low priduct,1
1Waste of money.... Not recommended to all... Poor quality product...,Waste of money.... Not recommended to all... Poor quality product...,1
4Value for money,Value for money,4
1After using 1 week shock are torn apart from up side,After using 1 week shock are torn apart from up side,1
"1Do not buy, very cheap","Do not buy, very cheap",1
1Not good quality don't,Not good quality don't,1
1Bed quality,Bed quality,1
1Waste of money,Waste of money,1
1This is not good.....,This is not good.....,1
1Very small peace,Very small peace,1
1Poor quality.. don't buy this product,Poor quality.. don't buy this product,1
1Not proper,Not proper,1
1Worst quality socks. Do not buy,Worst quality socks. Do not buy,1
1Product is not good,Product is not good,1
1Not good material. Looks good but material is not fair enough,Not good material. Looks good but material is not fair enough,1
1Very poor quality and very small size,Very poor quality and very small size,1
1Quality of the product is worse.,Quality of the product is worse.,1
1Waste of money.product size is not suitable for adults .....it's size suits only for kids below 10 years.,Waste of money.product size is not suitable for adults .....it's size suits only for kids below 10 years.,1
1Poor quality 😢 💔,Poor quality 😢 💔,1
1Dont purchase waste mate,Dont purchase waste mate,1
1Very bad product only 1time use,Very bad product only 1time use,1
"1Low quality product, waste of money","Low quality product, waste of money",1
1Not worth full,Not worth full,1
1Very worst quality .,Very worst quality .,1
1Very bad.. please don't buy,Very bad.. please don't buy,1
1Very loose products,Very loose products,1
"1Very poor quality, waste of money, cloth torned within in a week","Very poor quality, waste of money, cloth torned within in a week",1
4Good shirt 👕,Good shirt 👕,4
5Good quality 💯,Good quality 💯,5
4Nice shirt,Nice shirt,4
5Nice shirt,Nice shirt,5
"5Nice fitting not expected, I'll going order more like these","Nice fitting not expected, I'll going order more like these",5
"5Fully satisfied with this shirt, very nice fitting and good fabric as per price.","Fully satisfied with this shirt, very nice fitting and good fabric as per price.",5
5Good product nice shirt pice wallet,Good product nice shirt pice wallet,5
5Good quality a product,Good quality a product,5
3At this price range..itz good buy,At this price range..itz good buy,3
5Nice products.........,Nice products.........,5
5Osam,Osam,5
5👍👍👍👌👌👌👌👌super shert and good quality Best price 👌👌👌👌👌,👍👍👍👌👌👌👌👌super shert and good quality Best price 👌👌👌👌👌,5
2Unproper length,Unproper length,2
4Awesome quality of products,Awesome quality of products,4
4So comfortable...Love it🥰,So comfortable...Love it🥰,4
"3It is good, cloth is elastic and smooth cloth","It is good, cloth is elastic and smooth cloth",3
3Not good cloth..,Not good cloth..,3
5Good according to the price,Good according to the price,5
5Best quality of Shirt,Best quality of Shirt,5
5Good looking in shirt,Good looking in shirt,5
4Nice shirts good filkart,Nice shirts good filkart,4
1Just okk,Just okk,1
4osm product in this range,osm product in this range,4
3Fine,Fine,3
3Satisfied,Satisfied,3
3good shirt,good shirt,3
3Average low quality product on low cost.,Average low quality product on low cost.,3
5Wow this is a good for me,Wow this is a good for me,5
5Product is very good.delivery agent is a good person,Product is very good.delivery agent is a good person,5
5Super exlent,Super exlent,5
5Nice cloth super i loved it,Nice cloth super i loved it,5
5Worth for price..,Worth for price..,5
4Thank you filfkart,Thank you filfkart,4
5I would say it is totally worth. One should go for it.,I would say it is totally worth. One should go for it.,5
5Totally worth it. Loved it.,Totally worth it. Loved it.,5
5So good,So good,5
5Nice shart,Nice shart,5
5Very good and comfortable I suggest for all,Very good and comfortable I suggest for all,5
2Avarage cloth,Avarage cloth,2
"3No pocket given otherwise good, if pocket given I will give 5 star","No pocket given otherwise good, if pocket given I will give 5 star",3
3Fabric is average,Fabric is average,3
4Nyc products,Nyc products,4
1Quality is very poor..,Quality is very poor..,1
"4It might be good , fabric is too much soft easy to wear ..","It might be good , fabric is too much soft easy to wear ..",4
2Very bad shot,Very bad shot,2
5It is good and comfortable.,It is good and comfortable.,5
2Quality id too much bad.. Not worth waste of money.,Quality id too much bad.. Not worth waste of money.,2
5Cool,Cool,5
5I like it,I like it,5
5Amazing,Amazing,5
5Nice product and comfort,Nice product and comfort,5
5Awesome 👍👍 it's look very stylish and superb fittings....,Awesome 👍👍 it's look very stylish and superb fittings....,5
5best product thank you Flipkart,best product thank you Flipkart,5
4Supre,Supre,4
5Worth it,Worth it,5
5Best in the market,Best in the market,5
5Great quality and stylish design. The Damensch trunks are incredibly comfortable and durable. Will definitely buy again!,Great quality and stylish design. The Damensch trunks are incredibly comfortable and durable. Will definitely buy again!,5
5Very nice prodact,Very nice prodact,5
1Poor quality and not good product.,Poor quality and not good product.,1
5Good produced,Good produced,5
5Good praduct.,Good praduct.,5
5Very soft and warm product,Very soft and warm product,5
3Good quality,Good quality,3
3Not good,Not good,3
3Avg quality,Avg quality,3
3Good but thin should be improvement in quality clotch is thin and uncomfortable,Good but thin should be improvement in quality clotch is thin and uncomfortable,3
3Not good 😐,Not good 😐,3
3Not so bad.,Not so bad.,3
"3Very thin material, got cuts in 10-15 days","Very thin material, got cuts in 10-15 days",3
3Medium range quality. Its ok if your buying at discounted rate.,Medium range quality. Its ok if your buying at discounted rate.,3
3The socks are breathable fabric but are of average quality.,The socks are breathable fabric but are of average quality.,3
3Decent product,Decent product,3
2Poor Quality,Poor Quality,2
1Bad quality waste of money,Bad quality waste of money,1
1Ware bad quilty,Ware bad quilty,1
5Comfortable,Comfortable,5
5super,super,5
3Not as good as jockey,Not as good as jockey,3
1Quality is very bad. There is some itchy feeling while wearing it. It less cotton and more spandex.,Quality is very bad. There is some itchy feeling while wearing it. It less cotton and more spandex.,1
5Excellent quality product,Excellent quality product,5
5My son really like this socks,My son really like this socks,5
5Superb socks,Superb socks,5
"5Using from 1 month
material is good
preferable item.","Using from 1 month
material is good
preferable item.",5
1Very bad quality......... Cheating,Very bad quality......... Cheating,1
5Superb quality.,Superb quality.,5
3It stinks in the first use.The product quality is not that bad.The smell cant be tolerated,It stinks in the first use.The product quality is not that bad.The smell cant be tolerated,3
5Really nice products,Really nice products,5
5Butiful,Butiful,5
1Don't buy ! Is a waste of money For having a brand name HRX price the quality of the product is not to the standard the socks stinks when you wear them first time Same on You! For charging on a name brand...,Don't buy ! Is a waste of money For having a brand name HRX price the quality of the product is not to the standard the socks stinks when you wear them first time Same on You! For charging on a name brand...,1
5Nice quality 👍,Nice quality 👍,5
5Quality of HRX brand is great. Pure cotton and nice sticking.,Quality of HRX brand is great. Pure cotton and nice sticking.,5
5Product was good,Product was good,5
5Budget socks,Budget socks,5
1Don't buy this .....Too bad ....😡👎 Afterall it's not a cotton. 😡,Don't buy this .....Too bad ....😡👎 Afterall it's not a cotton. 😡,1
5It's awesome.,It's awesome.,5
3Ex,Ex,3
4Awesome quality.,Awesome quality.,4
1Very baad quality,Very baad quality,1
1very cheap quality. not worth the price,very cheap quality. not worth the price,1
"1The quality is very poor, the copy socks available in the local market is better than this। The smell starts appearing within four-five hours","The quality is very poor, the copy socks available in the local market is better than this। The smell starts appearing within four-five hours",1
3Product is not pure cotton,Product is not pure cotton,3
4Good 😃,Good 😃,4
4Very nice product,Very nice product,4
2Too expensive for this price,Too expensive for this price,2
1It's very worst products please dont try to buy.,It's very worst products please dont try to buy.,1
1Quality doesn't meet my expectation,Quality doesn't meet my expectation,1
5Good fabric and stitching,Good fabric and stitching,5
5Good quality good product,Good quality good product,5
"5Very good quality
Smell problem is to far if you wear this shocks","Very good quality
Smell problem is to far if you wear this shocks",5
1Cloth very worst,Cloth very worst,1
2Expensive,Expensive,2
4Nyc,Nyc,4
4Worth of money!!,Worth of money!!,4
5Amazing quality,Amazing quality,5
1Worst product after one day use(5-6 hr) very bad smell and socks was so thin,Worst product after one day use(5-6 hr) very bad smell and socks was so thin,1
"5GOOD QUALITY
GOOD CLOTH","GOOD QUALITY
GOOD CLOTH",5
4Comfortable socks,Comfortable socks,4
5Best products quality in this range,Best products quality in this range,5
1Product quality is not good.,Product quality is not good.,1
4Nice socks but they are very thin,Nice socks but they are very thin,4
5Great product drelevary great thanks Flipkart,Great product drelevary great thanks Flipkart,5
1Waste product poor quality local quality dont purchase. 🤑🤑🤮🤮🤬🤬.........,Waste product poor quality local quality dont purchase. 🤑🤑🤮🤮🤬🤬.........,1
5Comfy products,Comfy products,5
5Very good material tidy... If your waist size is 34 go for with L size. Satisfied with product.,Very good material tidy... If your waist size is 34 go for with L size. Satisfied with product.,5
5Superb fabric and fit. Great for gyms and swimming.,Superb fabric and fit. Great for gyms and swimming.,5
5Product is good 👍👍,Product is good 👍👍,5
5Great fabrik,Great fabrik,5
4This product good,This product good,4
4Nice Product 🔥🔥,Nice Product 🔥🔥,4
4Very good quality even u wear this for swimming also,Very good quality even u wear this for swimming also,4
4Good Product,Good Product,4
5M size. Best hai,M size. Best hai,5
5Nice product 👍,Nice product 👍,5
"5Very much Comfortable, fit, value for money
Although it would be better if it comes with elastic rope around waist","Very much Comfortable, fit, value for money
Although it would be better if it comes with elastic rope around waist",5
5Worth of money,Worth of money,5
5Brilliant 👌👌👌👌👌👌,Brilliant 👌👌👌👌👌👌,5
5Very nice protecter,Very nice protecter,5
5Good product and quality is really good,Good product and quality is really good,5
3Not good quality,Not good quality,3
3The height of this product is very short.,The height of this product is very short.,3
5Good quality 🥰,Good quality 🥰,5
5Nice product good material ☺️,Nice product good material ☺️,5
5V good and comfort for running,V good and comfort for running,5
4Good product 👍🏼😀 I like the comfort,Good product 👍🏼😀 I like the comfort,4
5Perfectly fine,Perfectly fine,5
5I'm fully satisfied 😊,I'm fully satisfied 😊,5
"5Without thinking, just go for it","Without thinking, just go for it",5
4Decent for swiming and gym,Decent for swiming and gym,4
5Nice shots 👌,Nice shots 👌,5
4I got the order like what I was expecting,I got the order like what I was expecting,4
4Nice product but not a super product.,Nice product but not a super product.,4
4Oosam,Oosam,4
"3Good but not comfortable, price according it is good","Good but not comfortable, price according it is good",3
1Size is not fit,Size is not fit,1
"4Very good quality.
Satisfied with product 😊","Very good quality.
Satisfied with product 😊",4
5It is very so good,It is very so good,5
2Very low quality. Lost it's flexibility.,Very low quality. Lost it's flexibility.,2
5Great 👍,Great 👍,5
"5Its a best product, fully comfortable, easy to wear, light weight feeling","Its a best product, fully comfortable, easy to wear, light weight feeling",5
5beautiful,beautiful,5
4Good quality 💯💯,Good quality 💯💯,4
5This pant is super elastic and it good for gym and cardio.,This pant is super elastic and it good for gym and cardio.,5
5Nice quality and comfort,Nice quality and comfort,5
1Stitching are not done well stitching are opening bad stitching quality.,Stitching are not done well stitching are opening bad stitching quality.,1
4Nice product and quality is very good,Nice product and quality is very good,4
4NYC... 🙏,NYC... 🙏,4
5Very very nice 👍 clothes,Very very nice 👍 clothes,5
3The product is god but length size is small.,The product is god but length size is small.,3
1Low quality not good,Low quality not good,1
5Good quality 👍👍👍 comfortable.....good for running.....,Good quality 👍👍👍 comfortable.....good for running.....,5
1It don't have the guard supporter...,It don't have the guard supporter...,1
3okay type,okay type,3
4Nice product 😊😊,Nice product 😊😊,4
5Good product👍🥰,Good product👍🥰,5
5Good product 👌,Good product 👌,5
5Fully comfortable,Fully comfortable,5
3Average.... product 🫶,Average.... product 🫶,3
5Very nice product. ..thnx a lot Flipkart,Very nice product. ..thnx a lot Flipkart,5
"5Product is very good , and good fitting","Product is very good , and good fitting",5
5Super comfortable and excellent fit.,Super comfortable and excellent fit.,5
"4It,s ok","It,s ok",4
3Good Quality,Good Quality,3
4Good qua👌,Good qua👌,4
5Good Product,Good Product,5
3Everything ok but Colour shading....... 👎,Everything ok but Colour shading....... 👎,3
4Good skin tight,Good skin tight,4
1Just Average,Just Average,1
4Very good product...you can try it,Very good product...you can try it,4
"1Fully waste product.
Request to everyone dont buy this product.
This is a waste of money
The product is very low in quality.
And it's customer service is so bad.","Fully waste product.
Request to everyone dont buy this product.
This is a waste of money
The product is very low in quality.
And it's customer service is so bad.",1
2Good material but unsuitable for cycling as the joints rub against skin and bruise,Good material but unsuitable for cycling as the joints rub against skin and bruise,2
"4Its a good product and fits well.
Its fabric is very good and feels good while running.
I have already run almost 25km wearing this, found no issues at all.","Its a good product and fits well.
Its fabric is very good and feels good while running.
I have already run almost 25km wearing this, found no issues at all.",4
5good quality product👌👌,good quality product👌👌,5
"5Worth it,","Worth it,",5
4It's good,It's good,4
5Nice cloth,Nice cloth,5
5Product is very comfortable.. Size is good😍,Product is very comfortable.. Size is good😍,5
5Amazing product 👍,Amazing product 👍,5
5Brilliant product,Brilliant product,5
4good quality,good quality,4
4Product quality awesome,Product quality awesome,4
5Exclent,Exclent,5
5Nice product and the fabric is ultra soft and smooth,Nice product and the fabric is ultra soft and smooth,5
5One of best product in Flipkart from damensch brand boxers it's very comfortable,One of best product in Flipkart from damensch brand boxers it's very comfortable,5
5Nice comfort for summer,Nice comfort for summer,5
3So so,So so,3
"1Worst product in color
After 1 wast it's colour faded","Worst product in color
After 1 wast it's colour faded",1
"2The product material is cheap quality, not worth money.","The product material is cheap quality, not worth money.",2
5Very good colours and quality of cloth.....I will definitely buy more from Damensch,Very good colours and quality of cloth.....I will definitely buy more from Damensch,5
4OK,OK,4
"5Awesome quality
I just love it 😍","Awesome quality
I just love it 😍",5
"3Bought 2
Okayish products.
Even 34 waist person can get M size","Bought 2
Okayish products.
Even 34 waist person can get M size",3
4Nic,Nic,4
5It amezing,It amezing,5
"5really good boxer shorts,fabric is genuinely good","really good boxer shorts,fabric is genuinely good",5
"5Midiyam quality product 👌
But
Useful product
50 -50","Midiyam quality product 👌
But
Useful product
50 -50",5
5Really comfortable and light,Really comfortable and light,5
5It's very breathable and light it will be a great purchase for this summer ⛱️🌞. Loved the product so much,It's very breathable and light it will be a great purchase for this summer ⛱️🌞. Loved the product so much,5
5Good quality product. Same product as mentioned in product's discription. I love this brand 😍,Good quality product. Same product as mentioned in product's discription. I love this brand 😍,5
5fitting is very good and qualty of clothe is awsm,fitting is very good and qualty of clothe is awsm,5
1Amazing,Amazing,1
5Nice quality and comfortable,Nice quality and comfortable,5
5nice,nice,5
"5Very very good product, do go for it, best fit","Very very good product, do go for it, best fit",5
5Another excellent and most comfortable product from the stables of Damensch. Looking forward to purchasing their shirts and T-shirt soon. Keep it up.,Another excellent and most comfortable product from the stables of Damensch. Looking forward to purchasing their shirts and T-shirt soon. Keep it up.,5
3Not worthy compare to product,Not worthy compare to product,3
5Not suitable for me,Not suitable for me,5
5Comfortable and colour is as shown in picture.,Comfortable and colour is as shown in picture.,5
5Good qulity,Good qulity,5
5It comfortable and fabric is also very good,It comfortable and fabric is also very good,5
5Very comfortable i was confused about the fabric but it turned out great and its very comfy,Very comfortable i was confused about the fabric but it turned out great and its very comfy,5
1Very poor quality,Very poor quality,1
5Nice product value for money comfortable running..,Nice product value for money comfortable running..,5
1Worst fabric quality and bad fitting.. not recommended,Worst fabric quality and bad fitting.. not recommended,1
1Product is not good quality and not worth for this price,Product is not good quality and not worth for this price,1
5It's Completely comfortable and breathy fabric.,It's Completely comfortable and breathy fabric.,5
5Good 😊,Good 😊,5
"5Pure cotton, So Comfortable","Pure cotton, So Comfortable",5
5Good product 😊,Good product 😊,5
5Best for daily use im currently using it 2 years,Best for daily use im currently using it 2 years,5
3Ok ok not excited not decreasing.,Ok ok not excited not decreasing.,3
2Very bad product,Very bad product,2
5Very Comfortable and Good quality,Very Comfortable and Good quality,5
5Product is very comfortable fit and fabric also very good and soft.,Product is very comfortable fit and fabric also very good and soft.,5
5I like its fitness and fabric. Go for it.,I like its fitness and fabric. Go for it.,5
1Worst product don't buy it,Worst product don't buy it,1
5Good quality and good comfort,Good quality and good comfort,5
"1very very bad product , wast of money","very very bad product , wast of money",1
1Colour is coming out badly. You can't return. High price low quality. So think twice before you buy.,Colour is coming out badly. You can't return. High price low quality. So think twice before you buy.,1
1Colour is coming out very badly during washing. You can't return/exchange. High price low quality. So thik twice before u buy...,Colour is coming out very badly during washing. You can't return/exchange. High price low quality. So thik twice before u buy...,1
"1Order is so costly according to price , quality is all right","Order is so costly according to price , quality is all right",1
5Superb soft compared to another brand,Superb soft compared to another brand,5
5One of the best boxers,One of the best boxers,5
5Perfect fitting. Soft and smooth quality is very nice,Perfect fitting. Soft and smooth quality is very nice,5
1Dont use less prpduct,Dont use less prpduct,1
5Nice product 👌 👍,Nice product 👌 👍,5
1I have order this same product last year back and it was too good but this time its worst,I have order this same product last year back and it was too good but this time its worst,1
5Best quality best feeting,Best quality best feeting,5
3The material was not as good as I expected according to the price.,The material was not as good as I expected according to the price.,3
2Color runs,Color runs,2
"1Quality is very bad
Not purchase this product..","Quality is very bad
Not purchase this product..",1
1Very Cheap Quality Not Worth,Very Cheap Quality Not Worth,1
5Very soft n comfortable to wear. It let your skin breathe and it is very light. Perfect to wear.,Very soft n comfortable to wear. It let your skin breathe and it is very light. Perfect to wear.,5
5Very soft and comfortable to wear. It let your skin breathe and you feel very light. Perfect to wear.,Very soft and comfortable to wear. It let your skin breathe and you feel very light. Perfect to wear.,5
5Very good product 💯,Very good product 💯,5
"1Bad quality,","Bad quality,",1
1It got torn after 20days bad quality,It got torn after 20days bad quality,1
5So nice pant .....,So nice pant .....,5
4Good but price hig,Good but price hig,4
5Good and comfortable....,Good and comfortable....,5
2Short in size,Short in size,2
5Perfect fitting and classic quality of the material. Way better than Jockey brand. Fully satisfied with the product. Thank you Damensch for high quality products.,Perfect fitting and classic quality of the material. Way better than Jockey brand. Fully satisfied with the product. Thank you Damensch for high quality products.,5
5Just oswm........,Just oswm........,5
1Quality is much poor as per Price.,Quality is much poor as per Price.,1
"5As expected,fully satisfied with the fabric, moreover the fitting and feel is awesome 😎😎","As expected,fully satisfied with the fabric, moreover the fitting and feel is awesome 😎😎",5
5Fantastic feeling,Fantastic feeling,5
4Very good 👍 tshirt,Very good 👍 tshirt,4
5Nice fabric and beautiful design,Nice fabric and beautiful design,5
"5The T-shirt fits nicely, is well tailored and fabric is of good quality. Worth buying","The T-shirt fits nicely, is well tailored and fabric is of good quality. Worth buying",5
3Not Bad 👍,Not Bad 👍,3
5Comfortable and brilliant,Comfortable and brilliant,5
"5Product is very nice
Owesam","Product is very nice
Owesam",5
